HoleID,from,Depth,Cone,Qnet-,qt,Friction,Pore2,Bq,Fric_ratio
WH_cpt001,0,0.02,0.0199,0.0209,0.0213,,0.0034,0.1457,
WH_cpt001,0.02,0.04,0.0357,0.0364,0.0372,,0.0035,0.0844,
WH_cpt001,0.04,0.06,0.0524,0.0527,0.0539,0.0004,0.0036,0.0562,0.949
WH_cpt001,0.06,0.08,0.0904,0.0903,0.0919,0.0007,0.0037,0.0313,0.9287
WH_cpt001,0.08,0.1,0.1412,0.1408,0.1428,0.0009,0.0038,0.0192,0.7552
WH_cpt001,0.1,0.12,0.2197,0.2189,0.2213,0.0012,0.0039,0.0119,0.65
WH_cpt001,0.12,0.14,0.2982,0.2971,0.2999,0.0017,0.0041,0.0091,0.6695
WH_cpt001,0.14,0.16,0.4628,0.4614,0.4646,0.0024,0.0041,0.0055,0.635
WH_cpt001,0.16,0.18,0.6489,0.647,0.6506,0.0032,0.004,0.0035,0.5783
WH_cpt001,0.18,0.2,0.9016,0.8992,0.9032,0.0039,0.0037,0.0021,0.4999
WH_cpt001,0.2,0.22,1.1441,1.1412,1.1456,0.0046,0.0035,0.0012,0.4259
WH_cpt001,0.22,0.24,1.4961,1.4927,1.4975,0.0055,0.0033,0.0006,0.4005
WH_cpt001,0.24,0.26,1.9198,1.916,1.9212,0.006,0.0034,0.0004,0.3174
WH_cpt001,0.26,0.28,2.3346,2.3306,2.3362,0.0071,0.0041,0.0004,0.3066
WH_cpt001,0.28,0.3,2.6434,2.6394,2.6454,0.008,0.005,0.0006,0.304
WH_cpt001,0.3,0.32,2.877,2.8729,2.8793,0.0087,0.006,0.0009,0.3104
WH_cpt001,0.32,0.34,3.0132,3.009,3.0158,0.0094,0.0065,0.001,0.3176
WH_cpt001,0.34,0.36,3.1624,3.158,3.1652,0.0104,0.0064,0.0009,0.3323
WH_cpt001,0.36,0.38,3.3895,3.3843,3.3919,0.0113,0.0056,0.0006,0.3406
WH_cpt001,0.38,0.4,3.8309,3.825,3.833,0.0124,0.0046,0.0002,0.3347
WH_cpt001,0.4,0.42,4.3771,4.3704,4.3788,0.0134,0.0041,0,0.3083
WH_cpt001,0.42,0.44,4.7719,4.765,4.7738,0.0144,0.0049,0,0.3039
WH_cpt001,0.44,0.46,5.0437,5.0369,5.0461,0.0153,0.0063,0.0002,0.3042
WH_cpt001,0.46,0.48,5.2547,5.2481,5.2577,0.0163,0.0074,0.0004,0.3123
WH_cpt001,0.48,0.5,5.4767,5.47,5.48,0.0175,0.0079,0.0005,0.3258
WH_cpt001,0.5,0.52,5.666,5.659,5.6694,0.0187,0.0079,0.0005,0.3331
WH_cpt001,0.52,0.54,5.9574,5.9498,5.9606,0.0201,0.0072,0.0003,0.3411
WH_cpt001,0.54,0.56,6.235,6.2266,6.2378,0.0216,0.0066,0.0002,0.3505
WH_cpt001,0.56,0.58,6.4439,6.435,6.4466,0.0227,0.0063,0.0001,0.3561
WH_cpt001,0.58,0.6,6.5463,6.5369,6.5489,0.0238,0.0063,0,0.3639
WH_cpt001,0.6,0.62,6.5311,6.5217,6.5341,0.0244,0.0075,0.0001,0.3728
WH_cpt001,0.62,0.64,6.6043,6.595,6.6078,0.0246,0.0087,0.0003,0.3725
WH_cpt001,0.64,0.66,6.7793,6.7701,6.7833,0.0251,0.0098,0.0004,0.3747
WH_cpt001,0.66,0.68,6.9889,6.9796,6.9932,0.0256,0.0103,0.0005,0.3704
WH_cpt001,0.68,0.7,7.2409,7.2313,7.2453,0.0263,0.0102,0.0005,0.3671
WH_cpt001,0.7,0.72,7.6124,7.6021,7.6165,0.0276,0.0095,0.0003,0.367
